"","rank","male_authors","female_authors"
"1",1,6.60246913580247,5.89722675367047
"2",2,6.54086956521739,5.86124401913876
"3",3,6.37276478679505,5.81196581196581
"4",4,6.28515625,5.66468253968254
"5",5,6.26462765957447,5.53131749460043
"6",6,6.24557956777996,5.35585042219542
"7",7,6.20282413350449,5.34892787524366
"8",8,6.18867924528302,5.11324041811847
"9",9,6.16851168511685,4.97654941373534
"10",10,6.16521739130435,4.95642701525054
"11",11,6.15855855855856,4.85807860262009
"12",12,6.1419624217119,4.20461095100865
"13",13,6.11312849162011,4.06292134831461
"14",14,6.11130136986301,3.92125984251969
"15",15,6.09291338582677,3.5364238410596
"16",16,6.08947368421053,3.17972350230415
"17",17,6.07223796033994,3.12144702842377
"18",18,6.0531561461794,3.0468085106383
"19",19,5.97597597597598,NA
"20",20,5.95305164319249,NA
"21",21,5.93540051679587,NA
"22",22,5.86245353159851,NA
"23",23,5.84426229508197,NA
"24",24,5.83663366336634,NA
"25",25,5.8258785942492,NA
"26",26,5.82238010657194,NA
"27",27,5.81196581196581,NA
"28",28,5.76338514680484,NA
"29",29,5.75268817204301,NA
"30",30,5.51048951048951,NA
"31",31,5.49585406301824,NA
"32",32,5.46555323590814,NA
"33",33,5.34042553191489,NA
"34",34,5.33060556464812,NA
"35",35,5.11550888529887,NA
"36",36,5.09859154929577,NA
"37",37,5.08507670850767,NA
"38",38,4.96907216494845,NA
"39",39,4.78823529411765,NA
"40",40,4.7452380952381,NA
"41",41,4.73208722741433,NA
"42",42,4.45744680851064,NA
"43",43,4.29338842975207,NA
"44",44,3.78756476683938,NA
"45",45,3.5045871559633,NA
"46",46,3.05970149253731,NA
