"","age.resp","books.per.year"
"1",18,20
"2",24,30
"3",78,30
"4",77,12
"5",71,15
"6",58,60
"7",38,25
"8",51,30
"9",66,50
"10",32,2
"11",57,50
"12",65,50
"13",65,30
"14",62,40
"15",68,100
"16",70,12
"17",68,25
"18",16,15
"19",63,12
"20",69,15
"21",59,20
"22",26,150
"23",82,50
"24",41,25
"25",47,45
"26",57,50
"27",42,60
"28",75,10
"29",70,30
"30",76,12
"31",56,6
"32",44,20
"33",70,20
"34",52,100
"35",38,12
"36",25,5
"37",63,6
"38",34,14
"39",29,25
"40",55,70
"41",46,30
"42",42,30
"43",64,20
"44",45,15
"45",70,60
"46",61,200
"47",53,125
"48",59,40
"49",48,8
"50",61,15
"51",60,35
"52",27,20
"53",70,12
"54",53,10
"55",61,20
"56",23,12
"57",55,10
"58",62,25
"59",52,90
"60",67,27
"61",27,3
"62",63,5
"63",60,5
"64",34,30
"65",63,30
"66",62,60
"67",61,35
"68",64,30
"69",35,48
"70",20,13
"71",60,12
"72",68,40
"73",63,10
"74",60,15
"75",64,60
"76",25,35
"77",58,45
"78",62,60
"79",54,50
"80",53,20
"81",16,20
"82",79,15
"83",29,15
"84",48,50
"85",67,10
"86",22,70
"87",38,25
"88",51,30
"89",49,20
"90",53,75
"91",57,75
"92",56,10
"93",55,8
"94",33,20
"95",53,20
"96",19,20
"97",24,25
"98",34,40
"99",40,20
"100",51,10
"101",38,40
"102",64,15
"103",70,40
"104",48,30
"105",55,80
"106",51,40
"107",32,10
"108",18,50
"109",31,5
"110",67,20
"111",43,55
"112",29,100
"113",59,65
"114",34,20
"115",64,15
"116",70,30
"117",66,20
"118",57,110
"119",62,20
"120",50,40
"121",47,10
"122",32,60
"123",61,52
"124",54,12
"125",64,25
"126",44,16
"127",53,50
"128",28,60
"129",66,20
"130",53,20
"131",56,10
"132",66,20
"133",71,50
"134",53,12
"135",35,60
"136",49,80
"137",20,8
"138",53,20
"139",54,5
"140",28,100
"141",70,40
"142",60,40
"143",54,60
"144",41,14
"145",21,5
"146",42,10
"147",70,30
"148",52,15
"149",31,12
"150",54,40
"151",51,25
"152",24,40
"153",39,20
"154",58,40
"155",55,300
"156",43,5
"157",35,30
"158",68,30
"159",71,50
"160",51,52
"161",59,12
"162",61,55
"163",51,35
"164",63,12
"165",64,20
"166",45,30
"167",66,30
"168",65,15
"169",31,20
"170",56,25
"171",61,15
"172",60,25
"173",65,60
"174",35,30
"175",68,52
"176",57,60
"177",21,14
"178",60,5
"179",19,25
"180",58,25
"181",58,40
"182",71,70
"183",66,120
"184",53,200
"185",79,65
"186",70,15
"187",72,12
"188",61,15
"189",60,10
"190",72,50
"191",48,12
"192",28,50
"193",26,10
"194",51,8
"195",56,20
"196",55,35
"197",55,10
"198",66,18
"199",61,8
"200",59,7
"201",54,25
"202",26,20
"203",65,15
"204",69,50
"205",29,12
"206",48,50
"207",25,25
"208",60,10
"209",34,22
"210",21,36
"211",52,30
"212",40,17
"213",43,30
"214",19,24
"215",26,6
"216",58,55
"217",42,3
"218",57,100
"219",55,30
"220",62,10
"221",73,15
"222",61,5
"223",43,75
"224",74,30
"225",46,20
"226",22,50
"227",64,16
"228",44,24
"229",53,60
"230",66,300
"231",28,5
"232",63,30
"233",46,50
"234",28,15
"235",18,35
"236",35,15
"237",56,40
"238",53,10
"239",57,45
"240",65,35
"241",59,30
"242",29,10
"243",72,10
"244",70,15
"245",57,45
"246",39,20
"247",43,10
"248",17,30
"249",26,40
"250",61,40
"251",54,40
"252",60,20
"253",68,60
"254",66,25
"255",40,30
"256",65,20
"257",60,10
"258",73,30
"259",69,80
"260",39,15
"261",20,30
"262",66,9
"263",33,15
"264",59,25
"265",27,20
"266",38,25
"267",27,10
"268",55,25
"269",69,50
"270",57,30
"271",67,20
"272",58,50
"273",20,25
"274",27,10
"275",30,20
"276",52,60
"277",77,110
"278",23,20
"279",70,20
"280",70,6
"281",63,25
"282",60,8
"283",63,50
"284",57,30
"285",44,20
"286",37,60
"287",45,60
"288",40,60
"289",57,20
"290",58,65
"291",59,10
"292",67,52
"293",64,12
"294",67,20
"295",56,40
"296",66,60
"297",32,3
"298",24,25
"299",44,10
