"","respondent.id","books.per.year"
"1",0,20
"2",1,30
"3",2,30
"4",3,12
"5",4,15
"6",5,60
"7",6,25
"8",7,30
"9",8,50
"10",9,2
"11",10,50
"12",11,50
"13",12,30
"14",13,40
"15",14,100
"16",15,12
"17",16,25
"18",17,15
"19",18,12
"20",19,15
"21",20,20
"22",21,150
"23",22,50
"24",23,25
"25",24,45
"26",25,50
"27",26,60
"28",27,10
"29",28,30
"30",29,12
"31",30,6
"32",31,20
"33",32,20
"34",33,100
"35",34,12
"36",35,5
"37",36,6
"38",37,14
"39",38,25
"40",39,70
"41",40,30
"42",41,30
"43",42,20
"44",43,15
"45",44,60
"46",45,200
"47",46,125
"48",47,40
"49",48,8
"50",49,15
"51",51,35
"52",52,20
"53",53,12
"54",54,10
"55",55,20
"56",56,12
"57",57,10
"58",58,25
"59",59,90
"60",60,27
"61",61,3
"62",62,5
"63",63,5
"64",64,30
"65",65,30
"66",66,60
"67",67,35
"68",68,30
"69",69,48
"70",70,13
"71",71,12
"72",72,40
"73",73,10
"74",74,15
"75",75,60
"76",76,35
"77",77,45
"78",78,60
"79",79,50
"80",80,20
"81",81,20
"82",82,15
"83",83,15
"84",84,50
"85",85,10
"86",86,70
"87",87,25
"88",88,30
"89",89,20
"90",90,75
"91",91,75
"92",92,10
"93",93,8
"94",94,20
"95",95,20
"96",96,20
"97",97,25
"98",98,40
"99",99,20
"100",100,10
"101",101,40
"102",102,15
"103",103,40
"104",104,30
"105",105,80
"106",106,40
"107",107,10
"108",108,50
"109",109,5
"110",110,20
"111",111,55
"112",112,100
"113",113,65
"114",114,20
"115",115,15
"116",116,30
"117",117,20
"118",118,110
"119",119,20
"120",120,40
"121",121,10
"122",122,60
"123",123,52
"124",124,12
"125",125,25
"126",126,16
"127",127,50
"128",128,60
"129",129,20
"130",130,20
"131",131,10
"132",132,20
"133",133,50
"134",134,12
"135",135,60
"136",136,80
"137",137,8
"138",138,20
"139",139,5
"140",140,100
"141",141,40
"142",142,40
"143",143,60
"144",144,14
"145",145,5
"146",146,10
"147",147,30
"148",148,15
"149",149,12
"150",150,40
"151",151,25
"152",152,40
"153",153,20
"154",154,40
"155",155,300
"156",156,5
"157",157,30
"158",158,30
"159",159,50
"160",160,52
"161",161,12
"162",162,55
"163",163,35
