"","respondent_id","books.read"
"1",0,10
"2",1,16
"3",2,8
"4",3,18
"5",4,19
"6",5,44
"7",6,29
"8",7,32
"9",8,64
"10",9,2
"11",10,147
"12",11,39
"13",12,58
"14",13,1
"15",14,53
"16",15,42
"17",16,35
"18",17,3
"19",18,34
"20",19,14
"21",20,32
"22",21,164
"23",22,33
"24",23,20
"25",24,15
"26",25,4
"27",26,49
"28",28,6
"29",29,1
"30",30,4
"31",31,21
"32",32,20
"33",33,48
"34",34,10
"35",35,1
"36",36,5
"37",37,2
"38",38,2
"39",39,98
"40",40,29
"41",41,5
"42",42,4
"43",43,37
"44",44,11
"45",45,60
"46",46,35
"47",47,18
"48",48,21
"49",49,1
"50",51,52
"51",52,21
"52",53,59
"53",54,8
"54",55,35
"55",56,8
"56",57,22
"57",59,10
"58",60,10
"59",61,1
"60",63,6
"61",64,8
"62",65,4
"63",66,37
"64",67,58
"65",68,4
"66",69,43
"67",70,22
"68",71,15
"69",72,79
"70",73,14
"71",74,21
"72",75,36
"73",76,3
"74",77,22
"75",78,57
"76",79,27
"77",80,43
"78",81,4
"79",82,9
"80",83,46
"81",84,61
"82",85,32
"83",86,26
"84",87,20
"85",88,30
"86",89,8
"87",90,47
"88",91,26
"89",92,11
"90",93,20
"91",94,30
"92",95,18
"93",96,14
"94",97,37
"95",98,11
"96",99,19
"97",100,4
"98",101,58
"99",102,19
"100",103,19
"101",104,26
"102",105,37
"103",106,4
"104",107,2
"105",108,3
"106",109,1
"107",110,31
"108",111,62
"109",112,11
"110",113,7
"111",114,49
"112",115,9
"113",116,21
"114",117,11
"115",118,2
"116",119,14
"117",120,9
"118",121,9
"119",122,24
"120",123,25
"121",124,24
"122",125,23
"123",126,14
"124",127,118
"125",128,56
"126",129,6
"127",130,11
"128",131,17
"129",132,8
"130",133,29
"131",134,8
"132",135,8
"133",136,61
"134",137,9
"135",138,25
"136",139,6
"137",140,11
"138",141,25
"139",142,38
"140",143,13
"141",144,23
"142",145,3
"143",146,19
"144",147,52
"145",148,30
"146",149,24
"147",150,45
"148",151,12
"149",152,11
"150",153,11
"151",154,15
"152",155,99
"153",156,6
"154",157,25
"155",158,8
"156",159,122
"157",160,77
"158",161,1
"159",162,57
"160",163,9
"161",164,6
"162",165,16
"163",166,15
"164",167,14
"165",168,24
"166",169,11
"167",170,21
"168",171,30
"169",172,28
"170",173,58
"171",174,15
"172",175,41
"173",176,14
"174",177,5
"175",178,4
"176",179,8
"177",180,9
"178",181,8
"179",182,36
"180",183,106
"181",184,58
"182",185,36
"183",186,18
"184",187,40
"185",188,36
"186",189,1
"187",190,60
"188",192,10
"189",193,17
"190",194,1
"191",195,1
"192",196,5
"193",197,54
"194",198,42
"195",199,12
"196",200,15
"197",201,14
"198",202,3
"199",203,16
"200",204,5
"201",205,32
"202",206,41
"203",207,34
"204",208,1
"205",209,22
"206",210,11
"207",211,11
"208",212,38
"209",213,13
"210",214,23
"211",215,7
"212",216,16
"213",217,108
"214",218,8
"215",219,75
"216",220,4
"217",221,6
"218",222,6
"219",223,4
"220",224,89
"221",225,6
"222",226,34
"223",227,3
"224",228,8
"225",229,38
"226",230,61
"227",231,12
"228",232,26
"229",233,1
"230",234,13
"231",235,24
"232",236,9
"233",237,11
"234",238,28
"235",239,8
"236",240,5
"237",241,9
"238",242,19
"239",243,1
"240",244,13
"241",246,5
"242",247,60
"243",248,1
"244",249,28
"245",250,6
"246",251,3
"247",252,18
"248",253,109
"249",254,75
"250",255,94
"251",256,23
"252",257,18
"253",258,15
"254",259,35
"255",260,43
"256",261,50
"257",262,21
"258",263,19
"259",264,1
"260",265,14
"261",266,14
"262",267,11
"263",268,50
"264",269,42
"265",270,14
"266",271,23
"267",272,97
"268",273,23
"269",274,11
"270",275,5
"271",276,13
"272",277,5
"273",278,24
"274",279,36
"275",280,7
"276",281,64
"277",282,1
"278",283,2
"279",284,3
"280",285,39
"281",286,56
"282",287,26
"283",288,58
"284",289,6
"285",290,48
"286",291,1
"287",292,74
"288",293,25
"289",294,33
"290",295,21
"291",296,18
"292",297,29
"293",298,25
"294",299,9
"295",300,67
"296",301,28
"297",302,22
"298",303,29
"299",304,50
"300",305,7
"301",306,10
"302",307,9
"303",308,14
"304",309,13
"305",310,23
"306",311,18
"307",312,36
"308",313,38
"309",314,3
"310",315,15
"311",316,25
"312",317,25
"313",318,32
"314",319,47
"315",320,36
"316",321,26
"317",322,22
"318",323,15
"319",324,1
"320",325,34
"321",326,2
"322",327,39
"323",328,12
"324",329,9
"325",330,1
"326",331,12
"327",332,39
"328",333,10
"329",334,15
"330",335,16
"331",336,17
"332",337,7
"333",338,35
"334",339,18
"335",340,18
"336",341,68
"337",342,46
"338",343,34
"339",344,1
"340",345,60
"341",346,5
"342",347,22
"343",348,20
"344",349,12
"345",350,60
"346",351,41
"347",352,76
"348",353,9
"349",354,33
"350",355,59
"351",356,71
"352",357,28
"353",358,26
"354",359,59
"355",360,39
"356",361,25
"357",362,69
"358",363,24
"359",364,58
"360",365,27
"361",366,2
"362",367,1
"363",368,31
"364",369,7
"365",370,44
"366",371,14
"367",372,12
"368",373,19
"369",374,18
"370",375,58
"371",376,34
"372",377,24
"373",378,25
"374",379,42
"375",380,43
"376",381,26
"377",382,6
"378",383,18
"379",384,29
"380",385,28
"381",386,8
"382",387,32
"383",388,13
"384",389,18
"385",390,11
"386",391,24
"387",392,13
"388",393,52
"389",394,19
"390",395,5
"391",397,5
"392",398,12
"393",399,19
"394",400,20
"395",401,44
"396",403,21
"397",404,8
"398",405,15
"399",406,97
"400",407,6
"401",408,42
"402",410,4
"403",411,14
"404",412,14
"405",413,31
"406",414,5
"407",415,63
"408",416,27
"409",417,9
"410",418,45
"411",419,36
"412",420,11
"413",421,11
"414",422,28
"415",423,4
"416",424,11
"417",425,26
"418",426,2
"419",427,23
"420",428,12
"421",429,36
"422",430,32
"423",431,22
"424",432,8
"425",433,32
"426",434,24
"427",435,34
"428",436,3
"429",437,56
"430",438,52
"431",439,1
"432",440,10
"433",441,34
"434",442,1
"435",443,1
"436",444,21
"437",445,5
"438",446,8
"439",447,17
"440",448,1
"441",449,16
"442",450,21
"443",451,28
"444",452,18
"445",453,29
"446",454,13
"447",455,45
"448",456,15
"449",457,26
"450",458,11
"451",459,1
"452",460,4
"453",461,1
"454",462,12
"455",463,24
"456",464,23
"457",465,52
"458",466,2
"459",467,73
"460",468,35
"461",469,19
"462",470,12
"463",471,51
"464",472,8
"465",473,21
"466",474,52
"467",475,3
"468",476,4
"469",477,37
"470",478,23
"471",479,57
"472",480,54
"473",481,16
"474",482,31
"475",483,50
"476",484,10
"477",485,19
"478",486,8
"479",487,65
