"","respondent.id","book.id"
"1",0,15
"2",1,10
"3",2,7
"4",3,16
"5",4,5
"6",5,22
"7",6,16
"8",7,15
"9",8,37
"10",9,5
"11",10,148
"12",11,8
"13",12,19
"14",13,1
"15",14,22
"16",15,14
"17",16,28
"18",17,5
"19",18,22
"20",19,2
"21",20,3
"22",21,7
"23",22,22
"24",23,8
"25",24,8
"26",25,5
"27",26,17
"28",27,3
"29",28,6
"30",29,1
"31",31,11
"32",32,12
"33",33,22
"34",34,5
"35",35,1
"36",36,3
"37",37,2
"38",38,2
"39",39,26
"40",40,13
"41",41,5
"42",42,5
"43",43,13
"44",44,7
"45",45,7
"46",46,22
"47",47,6
"48",48,12
"49",49,6
"50",51,53
"51",52,17
"52",53,7
"53",54,10
"54",55,12
"55",56,7
"56",57,17
"57",58,5
"58",59,13
"59",60,5
"60",62,4
"61",63,6
"62",64,8
"63",65,4
"64",66,20
"65",67,12
"66",68,6
"67",69,17
"68",70,9
"69",71,8
"70",72,12
"71",73,5
"72",74,10
"73",75,31
"74",76,6
"75",77,21
"76",78,37
"77",79,32
"78",80,20
"79",81,7
"80",82,7
"81",83,12
"82",84,12
"83",85,28
"84",86,16
"85",87,7
"86",88,15
"87",89,5
"88",90,52
"89",91,14
"90",92,4
"91",93,10
"92",94,22
"93",95,3
"94",96,14
"95",97,16
"96",98,4
"97",99,17
"98",101,22
"99",102,7
"100",103,11
"101",104,7
"102",105,42
"103",106,1
"104",107,2
"105",108,5
"106",109,1
"107",110,11
"108",111,38
"109",112,12
"110",113,10
"111",114,11
"112",115,12
"113",116,24
"114",117,3
"115",118,3
"116",119,7
"117",120,14
"118",121,5
"119",122,22
"120",123,7
"121",124,2
"122",125,28
"123",126,19
"124",127,17
"125",128,37
"126",129,2
"127",130,7
"128",131,17
"129",132,13
"130",133,12
"131",134,6
"132",135,10
"133",136,65
"134",137,12
"135",138,26
"136",139,3
"137",140,2
"138",141,11
"139",142,13
"140",143,7
"141",144,12
"142",145,5
"143",146,2
"144",147,12
"145",148,6
"146",149,6
"147",150,7
"148",151,12
"149",152,10
"150",153,15
"151",154,12
"152",155,104
"153",157,6
"154",158,13
"155",159,12
"156",160,7
"157",162,18
"158",163,9
"159",164,5
"160",165,12
"161",166,11
"162",167,4
"163",168,8
"164",169,10
"165",170,6
"166",171,22
"167",172,15
"168",173,58
"169",174,20
"170",175,28
"171",176,9
"172",177,5
"173",178,6
"174",179,8
"175",180,14
"176",181,12
"177",182,12
"178",183,31
"179",184,14
"180",185,12
"181",186,3
"182",187,8
"183",188,39
"184",189,2
"185",190,18
"186",192,12
"187",193,21
"188",194,1
"189",195,1
"190",196,5
"191",197,17
"192",198,47
"193",199,17
"194",200,20
"195",201,12
"196",202,1
"197",203,7
"198",204,9
"199",205,31
"200",206,7
"201",207,22
"202",209,17
"203",210,6
"204",211,11
"205",212,10
"206",213,17
"207",214,5
"208",215,9
"209",216,6
"210",217,93
"211",218,13
"212",219,17
"213",220,1
"214",221,1
"215",222,6
"216",224,17
"217",225,1
"218",226,12
"219",227,1
"220",228,9
"221",229,12
"222",230,18
"223",231,8
"224",234,9
"225",235,6
"226",236,9
"227",237,11
"228",238,4
"229",239,1
"230",240,1
"231",241,9
"232",242,9
"233",244,16
"234",246,7
"235",247,7
"236",249,11
"237",250,8
"238",252,18
"239",253,17
"240",254,7
"241",255,17
"242",256,5
"243",257,11
"244",258,10
"245",259,22
"246",260,2
"247",261,12
"248",262,2
"249",263,17
"250",265,12
"251",266,2
"252",267,11
"253",268,13
"254",269,7
"255",270,17
"256",271,17
"257",272,22
"258",273,10
"259",274,16
"260",275,7
"261",276,16
"262",277,1
"263",278,8
"264",279,7
"265",280,1
"266",281,51
"267",283,1
"268",284,5
"269",285,5
"270",286,36
"271",287,9
"272",288,17
"273",289,6
"274",290,7
"275",292,38
"276",293,24
"277",294,12
"278",295,14
"279",296,17
"280",297,8
"281",298,29
"282",299,3
"283",300,13
"284",301,12
"285",302,11
"286",303,22
"287",304,20
"288",305,11
"289",306,14
"290",307,12
"291",308,8
"292",309,5
"293",310,12
"294",311,1
"295",312,17
"296",313,41
"297",314,3
"298",315,5
"299",316,25
"300",317,11
"301",318,24
"302",319,17
"303",320,41
"304",321,17
"305",322,12
"306",323,14
"307",325,13
"308",326,4
"309",327,6
"310",328,16
"311",329,12
"312",331,10
"313",332,7
"314",333,7
"315",334,5
"316",335,6
"317",336,12
"318",337,6
"319",338,11
"320",339,6
"321",340,19
"322",341,31
"323",342,10
"324",343,27
"325",345,13
"326",346,3
"327",347,6
"328",348,21
"329",349,8
"330",350,7
"331",351,46
"332",352,12
"333",353,7
"334",354,11
"335",355,62
"336",356,76
"337",357,18
"338",358,28
"339",359,20
"340",360,12
"341",361,27
"342",362,17
"343",363,6
"344",364,63
"345",365,7
"346",367,5
"347",368,9
"348",369,7
"349",370,7
"350",371,19
"351",372,17
"352",373,10
"353",374,9
"354",375,14
"355",376,28
"356",377,10
"357",378,19
"358",379,12
"359",380,32
"360",381,7
"361",382,11
"362",383,14
"363",384,34
"364",385,7
"365",386,7
"366",387,12
"367",388,12
"368",389,7
"369",390,14
"370",391,13
"371",392,8
"372",393,7
"373",394,24
"374",395,5
"375",396,4
"376",397,8
"377",398,12
"378",399,2
"379",400,12
"380",401,49
"381",403,2
"382",404,3
"383",405,12
"384",406,18
"385",407,11
"386",408,8
"387",409,2
"388",410,7
"389",411,8
"390",412,6
"391",413,10
"392",415,27
"393",416,14
"394",417,14
"395",418,17
"396",419,33
"397",420,16
"398",421,12
"399",422,9
"400",423,4
"401",424,13
