"","Fiction","Other","Romantic","Suspense"
"0",9,1,0,0
"1",15,1,0,0
"2",6,2,0,0
"3",18,0,0,0
"4",14,0,0,5
"5",22,4,0,18
"6",5,1,0,23
"7",15,5,2,10
"8",57,3,0,4
"9",0,0,0,2
"10",61,5,1,80
"11",31,1,1,6
"12",21,1,0,36
"13",0,1,0,0
"14",8,4,0,41
"15",28,2,0,12
"16",28,1,0,6
"17",1,2,0,0
"18",8,0,1,25
"19",9,1,0,4
"20",21,1,0,10
"21",68,8,15,73
"22",16,4,0,13
"23",14,1,2,3
"24",14,1,0,0
"25",4,0,0,0
"26",7,7,23,12
"28",5,0,0,1
"29",0,1,0,0
"30",3,0,0,1
"31",21,0,0,0
"32",20,0,0,0
"33",26,4,0,18
"34",4,2,0,4
"36",4,0,0,1
"37",0,0,0,2
"38",2,0,0,0
"39",46,3,0,49
"40",12,0,1,16
"41",4,1,0,0
"42",1,0,0,3
"43",24,4,0,9
"44",6,0,0,5
"45",4,0,5,51
"46",28,2,0,5
"47",14,0,0,4
"48",0,3,0,18
"49",1,0,0,0
"51",29,1,0,22
"52",17,2,0,2
"53",34,0,0,25
"54",8,0,0,0
"55",15,0,0,20
"56",6,2,0,0
"57",20,2,0,0
"59",9,0,0,1
"60",6,1,0,3
"61",1,0,0,0
"63",0,0,0,6
"64",8,0,0,0
"65",3,1,0,0
"66",21,0,0,16
"67",32,3,0,23
"68",2,0,0,2
"69",16,1,0,26
"70",17,1,0,4
"71",14,0,0,1
"72",52,3,0,24
"73",13,1,0,0
"74",13,0,0,8
"75",6,1,0,29
"76",2,1,0,0
"77",22,0,0,0
"78",43,1,0,13
"79",12,2,0,13
"80",35,5,0,3
"81",0,4,0,0
"82",5,1,0,3
"83",24,3,0,19
"84",43,3,5,10
"85",30,0,0,2
"86",23,1,0,2
"87",19,1,0,0
"88",17,4,0,9
"89",3,0,0,5
"90",38,2,0,7
"91",11,1,0,14
"92",5,2,0,4
"93",4,1,0,15
"94",12,3,7,8
"95",16,1,1,0
"96",2,6,0,6
"97",26,4,0,7
"98",8,1,0,2
"99",0,6,0,13
"100",4,0,0,0
"101",19,0,0,39
"102",15,2,0,2
"103",16,2,0,1
"104",22,2,0,2
"105",35,1,0,1
"106",3,1,0,0
"107",2,0,0,0
