"","book_id","literariness_read","author","title","avg_sentence_length","sentence_length_variance"
"1",2,5.49585406301824,"Zwagerman, Joost","Duel",12.9347,10.1901
"2",4,5.51048951048951,"Abdolah, Kader","De kraai",12.3964,7.4167
"3",6,5.8258785942492,"Lanoye, Tom","Heldere hemel",11.1145,8.513
"4",9,4.96244635193133,"Kooten, Kees van","De verrekijker",14.9753,13.2983
"5",11,5.84426229508197,"Buwalda, Peter","Bonita Avenue",14.2836,12.0533
"6",12,5.08507670850767,"Koch, Herman","Zomerhuis met zwembad",10.2565,7.231
"7",13,3.62890625,"Noort, Saskia","Koorts",9.8584,7.1336
"8",14,3.81446540880503,"Vlugt, Simone van der","Op klaarlichte dag",12.9557,7.5382
"9",16,3.71813725490196,"Verhoef, Esther","Déjà vu",10.6287,7.0441
"10",17,3.5045871559633,"Kluun","Haantjes",12.1388,8.8754
"11",28,6.28515625,"Heijden, A.F.Th van der","Tonio",13.6133,9.3659
"12",29,3.46296296296296,"Vermeer, Suzanne","Bella Italia",11.8697,7.4021
"13",32,5.35585042219542,"Treur, Franca","Dorsvloer vol confetti",14.2215,10.2246
"14",33,5.11550888529887,"Koch, Herman","Het diner",13.9447,10.7782
"15",34,6.11312849162011,"Japin, Arthur","Vaslav",17.1769,12.9249
"16",36,4.20461095100865,"Verhoef, Esther","Tegenlicht",10.7652,8.0116
"17",38,3.11219512195122,"Vermeer, Suzanne","Cruise",11.1601,6.1649
"18",42,4.03004291845494,"Vlugt, Simone van der","In mijn dromen",13.3091,8.0554
"19",43,6.07223796033994,"Dis, Adriaan van","Tikkop",9.8412,7.0252
"20",44,3.37327188940092,"Vermeer, Suzanne","De suite",12.3644,7.0799
"21",45,4.45744680851064,"Vuijsje, Robert","Alleen maar nette mensen",9.4781,7.3247
"22",47,3.06550218340611,"Vermeer, Suzanne","Après-ski",11.2984,6.3078
"23",48,4.7452380952381,"Ravelli","De Vliegenvanger",12.061,7.9616
"24",52,5.81196581196581,"Enquist, Anna","De verdovers",10.1219,6.8849
"25",57,3.10373443983402,"Vermeer, Suzanne","Zwarte piste",11.5621,6.6328
"26",61,4.03761755485893,"Vermeer, Suzanne","Noorderlicht",12.2677,7.712
"27",64,3.41608876560333,"Noort, Saskia","De eetclub",12.3296,9.2562
"28",70,4.02651515151515,"Vermeer, Suzanne","Zomertijd",10.3019,5.873
"29",75,4.06292134831461,"Spijker, Rita","Tussen zussen",9.4541,5.6147
"30",77,6.15855855855856,"Grunberg, Arnon","Huid en haar",10.3095,7.729
"31",79,3.81276595744681,"Vermeer, Suzanne","De vlucht",11.2865,6.4275
"32",83,2.73626373626374,"Middelbeek, Mariette","Single en sexy",10.377,7.0704
"33",89,3.35111111111111,"Vermeer, Suzanne","Bon Bini beach",11.1954,7.3761
"34",92,5.86124401913876,"Moor, Marente de","De Nederlandse maagd",12.4148,8.4884
"35",93,3.97333333333333,"Verhoef, Esther","Alles te verliezen",11.5105,8.0877
"36",95,3.83941605839416,"Hollander, Loes den","Wisselgeld",8.5734,5.5673
"37",98,3.45791245791246,"Pauw, Marion","Jetset",10.2029,7.0076
