"","respondent.id","book.id"
"1",0,1
"2",2,1
"3",5,2
"4",8,2
"5",10,5
"6",14,2
"7",22,1
"8",24,1
"9",26,3
"10",33,1
"11",41,1
"12",43,2
"13",46,1
"14",51,1
"15",52,2
"16",56,2
"17",57,2
"18",65,1
"19",69,1
"20",72,1
"21",76,1
"22",79,2
"23",80,2
"24",81,4
"25",82,1
"26",86,1
"27",88,2
"28",90,2
"29",94,3
"30",96,6
"31",99,4
"32",103,1
"33",105,1
"34",110,1
"35",112,1
"36",116,4
"37",122,5
"38",123,2
"39",125,1
"40",127,1
"41",128,2
"42",130,1
"43",132,1
"44",135,2
"45",136,1
"46",137,3
"47",138,3
"48",142,1
"49",145,1
"50",148,1
"51",149,1
"52",150,2
"53",152,1
"54",153,5
"55",155,1
"56",157,1
"57",158,1
"58",162,1
"59",163,1
"60",169,4
"61",170,1
"62",172,1
"63",173,2
"64",174,3
"65",175,3
"66",179,3
"67",180,1
"68",184,3
"69",188,1
"70",190,1
"71",192,4
"72",193,2
"73",196,2
"74",200,2
"75",201,2
"76",204,1
"77",205,1
"78",209,1
"79",211,4
"80",213,1
"81",215,3
"82",216,1
"83",217,2
"84",224,1
"85",231,1
"86",236,3
"87",237,1
"88",242,1
"89",244,2
"90",246,1
"91",250,3
"92",252,1
"93",253,4
"94",259,1
"95",261,2
"96",265,1
"97",266,1
"98",268,2
"99",270,1
"100",272,1
"101",273,1
"102",274,2
"103",275,2
"104",280,1
"105",285,2
"106",287,3
"107",289,1
"108",292,4
"109",298,2
"110",303,1
"111",306,4
"112",307,1
"113",308,1
"114",316,6
"115",320,4
"116",321,1
"117",323,1
"118",325,2
"119",333,2
"120",341,1
"121",342,2
"122",343,4
"123",351,2
"124",352,1
"125",354,2
"126",355,2
"127",356,6
"128",357,3
"129",360,1
"130",361,1
"131",364,2
"132",371,1
"133",373,1
"134",376,3
"135",380,2
"136",384,2
"137",387,1
"138",389,2
"139",390,1
"140",401,1
"141",408,1
"142",410,2
"143",417,2
"144",418,1
"145",419,2
"146",420,1
"147",427,2
"148",429,1
"149",430,3
"150",432,1
"151",433,3
"152",434,1
"153",435,1
"154",441,1
"155",447,1
"156",449,1
"157",451,1
"158",453,1
"159",456,4
"160",463,1
"161",465,1
"162",469,1
"163",475,1
"164",481,1
"165",485,2
"166",486,1
"167",487,2
"168",488,1
"169",490,1
"170",492,1
"171",497,2
"172",501,1
"173",504,2
"174",508,1
"175",511,2
"176",513,2
"177",514,1
"178",524,2
"179",529,3
"180",531,1
"181",538,1
"182",548,1
"183",550,2
"184",551,2
"185",558,1
"186",559,1
"187",560,1
"188",563,1
"189",564,1
"190",565,3
"191",569,2
"192",579,2
"193",581,2
"194",583,1
"195",587,1
"196",589,2
"197",605,2
"198",610,1
"199",614,1
"200",618,3
"201",621,1
"202",624,1
"203",632,1
"204",635,2
"205",637,1
"206",642,1
"207",644,2
"208",647,1
"209",648,1
"210",649,2
"211",650,4
"212",652,1
"213",653,1
"214",662,2
"215",663,2
"216",665,4
"217",667,1
"218",669,2
"219",671,1
"220",675,1
"221",676,1
"222",678,1
"223",679,1
"224",682,6
"225",683,1
"226",687,6
"227",690,2
"228",692,1
"229",693,1
"230",695,1
"231",696,3
"232",698,2
"233",699,2
"234",700,1
"235",702,1
"236",703,1
"237",705,1
"238",709,2
"239",711,1
"240",717,2
"241",718,1
"242",720,2
"243",722,2
"244",724,3
"245",726,1
"246",728,1
"247",731,3
"248",732,1
"249",733,1
"250",740,2
"251",741,1
"252",747,4
"253",749,2
"254",752,2
"255",753,1
"256",754,5
"257",757,1
"258",758,1
"259",759,1
"260",760,1
"261",762,3
"262",763,2
"263",764,2
"264",771,2
"265",776,2
"266",778,1
"267",780,1
"268",781,1
"269",783,1
"270",785,1
"271",788,1
"272",791,1
"273",792,3
"274",797,1
"275",801,1
"276",802,1
"277",804,1
"278",807,1
"279",808,1
"280",809,5
"281",810,1
"282",812,1
"283",813,3
"284",815,1
"285",816,1
"286",817,1
"287",820,1
"288",821,1
"289",823,2
"290",824,1
"291",825,1
"292",830,2
"293",831,1
"294",833,2
"295",835,1
"296",837,1
"297",838,2
"298",841,1
"299",852,1
"300",853,1
"301",856,1
"302",863,1
"303",865,1
"304",867,1
"305",868,2
"306",872,1
"307",876,3
"308",881,2
"309",886,1
"310",888,6
"311",893,2
"312",897,2
"313",900,2
"314",901,1
"315",902,1
"316",904,1
"317",910,2
"318",912,1
"319",913,2
"320",914,1
"321",916,1
"322",919,4
"323",920,2
"324",922,3
"325",923,2
"326",924,1
"327",926,1
"328",927,1
"329",930,1
"330",931,1
"331",935,2
"332",937,1
"333",938,2
"334",942,1
"335",945,1
"336",950,1
"337",953,1
"338",955,1
"339",958,1
"340",960,1
"341",965,1
"342",966,1
"343",970,1
"344",972,1
"345",975,5
"346",979,1
"347",987,1
"348",989,1
"349",996,1
"350",1003,2
"351",1005,2
"352",1009,1
"353",1012,2
"354",1014,5
"355",1015,1
"356",1017,1
"357",1020,3
"358",1021,2
"359",1022,1
"360",1030,1
"361",1031,1
"362",1034,1
"363",1036,3
"364",1037,1
"365",1040,7
"366",1042,1
"367",1044,1
"368",1050,1
"369",1053,4
"370",1054,1
"371",1056,1
"372",1061,3
"373",1062,1
"374",1063,1
"375",1065,1
"376",1066,3
"377",1071,1
"378",1072,1
"379",1073,1
"380",1074,4
"381",1078,1
"382",1079,1
"383",1081,1
"384",1082,1
"385",1088,2
"386",1100,1
"387",1103,2
"388",1105,1
"389",1107,1
"390",1113,1
"391",1115,1
"392",1116,2
"393",1117,2
"394",1119,1
"395",1121,2
"396",1122,1
"397",1125,4
"398",1128,1
"399",1129,2
"400",1134,1
"401",1137,3
"402",1139,1
"403",1141,1
"404",1144,1
"405",1148,1
"406",1150,2
"407",1153,1
"408",1155,1
"409",1158,1
"410",1161,1
"411",1163,1
"412",1164,1
"413",1167,1
"414",1169,1
"415",1170,1
"416",1171,1
"417",1172,1
"418",1175,1
"419",1177,1
"420",1179,1
"421",1180,3
"422",1183,1
"423",1184,1
"424",1185,1
"425",1190,2
"426",1193,1
"427",1196,2
"428",1200,1
"429",1201,6
"430",1203,3
"431",1207,5
"432",1209,1
"433",1214,2
"434",1217,1
"435",1218,1
"436",1219,2
"437",1220,1
"438",1224,1
"439",1225,2
"440",1226,1
"441",1228,1
"442",1233,1
"443",1234,1
"444",1242,1
"445",1248,1
"446",1250,2
"447",1251,3
"448",1254,1
"449",1257,2
"450",1262,2
"451",1264,3
"452",1266,1
"453",1271,1
"454",1272,1
"455",1273,2
"456",1274,1
"457",1277,2
"458",1279,4
"459",1281,1
"460",1285,1
"461",1286,1
"462",1287,1
"463",1289,2
"464",1291,1
"465",1293,1
"466",1301,3
"467",1304,1
"468",1307,1
"469",1311,1
"470",1313,1
"471",1318,1
"472",1319,5
"473",1323,1
"474",1324,1
"475",1326,1
"476",1333,1
"477",1334,1
"478",1335,2
"479",1336,1
"480",1341,3
"481",1343,1
"482",1344,1
"483",1347,1
"484",1348,2
"485",1350,1
"486",1353,4
"487",1355,1
"488",1369,1
"489",1375,1
"490",1376,1
"491",1378,1
"492",1381,1
"493",1383,1
"494",1386,1
"495",1390,1
"496",1396,3
"497",1398,6
"498",1399,6
"499",1401,1
"500",1406,1
"501",1411,1
"502",1412,1
"503",1414,2
"504",1417,1
"505",1419,1
"506",1420,1
"507",1426,1
"508",1428,1
"509",1433,1
"510",1435,2
"511",1436,1
"512",1438,1
"513",1441,1
"514",1442,1
"515",1444,1
"516",1447,3
"517",1450,1
"518",1451,2
"519",1455,3
"520",1458,1
"521",1460,4
"522",1462,1
"523",1463,1
"524",1466,1
"525",1468,2
"526",1471,1
"527",1474,3
"528",1477,1
"529",1478,1
"530",1479,2
"531",1495,1
"532",1497,2
"533",1502,2
"534",1505,2
"535",1518,1
"536",1521,1
"537",1522,2
"538",1526,2
"539",1527,4
"540",1529,2
"541",1531,1
"542",1536,2
"543",1539,1
"544",1543,1
"545",1544,1
"546",1545,1
"547",1547,1
"548",1552,2
"549",1553,1
"550",1555,1
"551",1557,1
"552",1561,4
"553",1563,2
"554",1566,1
"555",1568,3
"556",1569,1
"557",1573,1
"558",1574,3
"559",1575,1
"560",1579,2
"561",1580,1
"562",1581,1
"563",1582,3
"564",1585,1
"565",1586,1
"566",1590,1
"567",1596,1
"568",1602,1
"569",1603,1
"570",1611,1
"571",1612,1
"572",1613,4
"573",1617,1
"574",1624,3
"575",1625,1
"576",1628,2
"577",1629,4
"578",1635,1
"579",1636,1
"580",1637,1
"581",1638,1
"582",1639,2
"583",1640,1
"584",1644,2
"585",1648,1
"586",1650,5
"587",1651,1
"588",1652,1
"589",1653,1
"590",1654,1
"591",1655,1
"592",1657,1
"593",1658,1
"594",1661,1
"595",1664,4
"596",1670,1
"597",1672,1
"598",1673,2
"599",1674,2
"600",1675,2
"601",1683,1
"602",1689,1
