"","respondent.id","book.id"
"1",7,2
"2",10,1
"3",11,1
"4",18,1
"5",21,2
"6",23,2
"7",26,12
"8",40,1
"9",45,4
"10",84,5
"11",94,7
"12",95,1
"13",111,8
"14",127,2
"15",128,1
"16",132,2
"17",133,5
"18",145,2
"19",147,1
"20",151,6
"21",155,13
"22",160,2
"23",173,1
"24",174,1
"25",179,1
"26",180,2
"27",192,1
"28",196,2
"29",206,1
"30",207,5
"31",216,1
"32",217,5
"33",224,1
"34",226,1
"35",230,2
"36",234,4
"37",236,3
"38",249,2
"39",255,3
"40",268,1
"41",288,7
"42",292,4
"43",295,1
"44",299,1
"45",300,3
"46",303,2
"47",309,1
"48",316,2
"49",319,1
"50",320,1
"51",325,1
"52",329,1
"53",336,7
"54",338,1
"55",341,1
"56",345,2
"57",347,1
"58",349,1
"59",350,2
"60",358,1
"61",359,1
"62",362,1
"63",368,2
"64",380,1
"65",383,7
"66",389,2
"67",393,2
"68",394,1
"69",401,1
"70",406,8
"71",411,2
"72",418,2
"73",424,1
"74",429,3
"75",437,1
"76",441,1
"77",446,1
"78",471,1
"79",472,1
"80",477,3
"81",481,1
"82",487,22
"83",502,8
"84",508,1
"85",516,8
"86",520,12
"87",523,9
"88",524,3
"89",525,3
"90",529,2
"91",532,6
"92",539,2
"93",556,2
"94",561,2
"95",563,9
"96",565,1
"97",567,7
"98",577,1
"99",580,2
"100",581,4
"101",585,1
"102",616,1
"103",620,2
"104",622,3
"105",631,2
"106",654,10
"107",666,10
"108",673,1
"109",675,3
"110",679,4
"111",691,1
"112",701,12
"113",716,1
"114",720,2
"115",723,1
"116",724,5
"117",730,1
"118",738,3
"119",748,1
"120",755,1
"121",764,5
"122",773,1
"123",784,1
"124",785,1
"125",801,1
"126",803,5
"127",809,2
"128",810,20
"129",812,2
"130",816,4
"131",817,4
"132",822,10
"133",826,1
"134",827,8
"135",837,1
"136",838,2
"137",844,1
"138",848,2
"139",849,1
"140",863,1
"141",864,1
"142",865,2
"143",872,5
"144",873,4
"145",883,2
"146",889,1
"147",891,1
"148",896,1
"149",900,1
"150",903,13
"151",905,3
"152",909,5
"153",911,2
"154",913,1
"155",918,6
"156",937,2
"157",941,8
"158",948,14
"159",956,11
"160",957,1
"161",965,1
"162",966,1
"163",971,3
"164",974,4
"165",978,14
"166",986,7
"167",1002,1
"168",1004,1
"169",1017,1
"170",1020,3
"171",1021,1
"172",1025,2
"173",1041,7
"174",1044,10
"175",1049,1
"176",1053,14
"177",1055,1
"178",1059,1
"179",1060,1
"180",1064,8
"181",1068,2
"182",1088,5
"183",1089,1
"184",1094,2
"185",1100,3
"186",1105,1
"187",1108,5
"188",1123,2
"189",1126,3
"190",1128,3
"191",1133,1
"192",1145,8
"193",1150,4
"194",1156,1
"195",1162,2
"196",1164,1
"197",1167,3
"198",1169,3
"199",1170,1
"200",1177,1
"201",1182,1
"202",1186,5
"203",1188,1
"204",1191,1
"205",1198,1
"206",1200,1
"207",1217,8
"208",1224,1
"209",1232,2
"210",1233,1
"211",1254,3
"212",1267,5
"213",1274,4
"214",1279,1
"215",1288,1
"216",1293,3
"217",1296,1
"218",1299,3
"219",1303,2
"220",1308,2
"221",1310,1
"222",1313,2
"223",1314,20
"224",1316,2
"225",1321,1
"226",1323,2
"227",1326,1
"228",1332,3
"229",1335,3
"230",1339,1
"231",1344,3
"232",1349,1
"233",1352,1
"234",1356,8
"235",1358,6
"236",1362,1
"237",1367,1
"238",1378,18
"239",1384,5
"240",1387,19
"241",1391,1
"242",1393,1
"243",1396,1
"244",1401,1
"245",1403,4
"246",1408,1
"247",1411,15
"248",1422,2
"249",1432,1
"250",1435,2
"251",1449,1
"252",1452,4
"253",1454,8
"254",1456,1
"255",1468,1
"256",1479,1
"257",1484,1
"258",1489,7
"259",1493,3
"260",1495,5
"261",1502,1
"262",1504,1
"263",1505,15
"264",1512,1
"265",1518,2
"266",1519,3
"267",1522,6
"268",1524,1
"269",1525,5
"270",1526,1
"271",1544,2
"272",1547,9
"273",1551,10
"274",1553,1
"275",1562,1
"276",1579,5
"277",1590,3
"278",1591,1
"279",1594,2
"280",1616,1
"281",1619,1
"282",1624,1
"283",1625,1
"284",1626,1
"285",1643,5
"286",1646,3
"287",1651,1
"288",1652,1
"289",1655,1
"290",1669,1
"291",1675,3
"292",1676,1
"293",1683,1
"294",1686,1
"295",1693,2
"296",1694,3
"297",1705,1
"298",1711,5
"299",1719,1
"300",1723,1
"301",1725,1
"302",1726,4
"303",1728,5
"304",1730,1
"305",1741,1
"306",1743,4
"307",1746,2
"308",1748,6
"309",1749,1
"310",1753,3
"311",1758,4
"312",1765,1
"313",1766,1
"314",1774,1
"315",1775,1
"316",1776,1
"317",1787,9
"318",1788,3
"319",1793,2
"320",1795,7
"321",1800,1
"322",1803,3
"323",1809,2
"324",1827,1
"325",1828,1
"326",1834,2
"327",1836,3
"328",1854,1
"329",1856,5
"330",1864,7
"331",1867,1
"332",1871,6
"333",1876,3
"334",1877,4
"335",1881,5
"336",1887,13
"337",1889,5
"338",1897,1
"339",1909,2
"340",1919,1
"341",1928,1
"342",1929,1
"343",1931,1
"344",1933,2
"345",1953,5
"346",1956,1
"347",1963,2
"348",1965,1
"349",1972,2
"350",1975,1
"351",1981,3
"352",1982,1
"353",1988,2
"354",1990,1
"355",1996,1
"356",2002,3
"357",2006,1
"358",2007,1
"359",2008,1
"360",2014,1
"361",2019,4
"362",2021,2
"363",2024,1
"364",2029,2
"365",2030,7
"366",2032,4
"367",2034,1
"368",2039,2
"369",2041,4
"370",2042,1
"371",2049,1
"372",2058,4
"373",2062,8
"374",2075,4
"375",2081,6
"376",2083,2
"377",2084,1
"378",2088,2
"379",2096,2
"380",2104,1
"381",2109,1
"382",2113,2
"383",2115,8
"384",2116,6
"385",2117,1
"386",2121,1
"387",2130,1
"388",2150,9
"389",2152,2
"390",2155,2
"391",2157,1
"392",2158,1
"393",2159,1
"394",2165,1
"395",2183,7
"396",2204,5
"397",2207,1
"398",2209,1
"399",2216,2
"400",2218,1
"401",2223,2
"402",2224,3
"403",2225,2
"404",2227,10
"405",2229,1
"406",2233,1
"407",2236,4
"408",2237,14
"409",2241,7
"410",2243,2
"411",2246,4
"412",2250,8
"413",2257,6
"414",2259,1
"415",2264,2
"416",2280,6
"417",2285,1
"418",2287,12
"419",2291,3
"420",2292,2
"421",2293,9
"422",2295,1
"423",2297,2
"424",2303,1
"425",2309,1
"426",2311,25
"427",2314,1
"428",2315,13
"429",2325,2
"430",2327,4
"431",2330,8
"432",2338,1
"433",2343,9
"434",2349,1
"435",2358,5
"436",2366,6
"437",2375,1
"438",2386,1
"439",2387,2
"440",2401,11
"441",2414,1
"442",2423,1
"443",2424,1
"444",2431,1
"445",2435,5
"446",2438,2
"447",2445,1
"448",2448,1
"449",2449,2
"450",2459,1
"451",2469,4
"452",2470,1
"453",2471,2
"454",2475,4
"455",2479,10
"456",2481,5
"457",2483,1
"458",2487,5
"459",2509,2
"460",2511,2
"461",2517,3
"462",2528,19
"463",2532,1
"464",2537,10
"465",2538,2
"466",2547,1
"467",2551,1
"468",2552,1
"469",2555,1
"470",2558,9
"471",2570,1
"472",2586,3
"473",2587,3
"474",2589,1
"475",2590,2
"476",2598,1
"477",2599,1
"478",2601,5
"479",2603,1
"480",2607,1
"481",2611,1
"482",2613,1
"483",2617,1
"484",2619,5
"485",2627,1
"486",2629,5
"487",2632,2
"488",2640,1
"489",2646,7
"490",2647,1
"491",2655,6
"492",2664,1
