"","book_id","literariness_read","author","title","genre","avg_sentence_length","sentence_length_variance"
"1",1,4.67456700091158,"Rosnay, Tatiana de","Haar naam was Sarah","Fiction",10.0416,7.3122
"2",2,5.49585406301824,"Zwagerman, Joost","Duel","Fiction",12.9347,10.1901
"3",3,4.90016366612111,"Blum, Jenna","Het Familieportret","Fiction",12.2611,9.0535
"4",4,5.51048951048951,"Abdolah, Kader","De kraai","Fiction",12.3964,7.4167
"5",5,3.89510489510489,"Larsson, Stieg","Mannen die vrouwen haten","Suspense",14.1121,9.3996
"6",6,5.8258785942492,"Lanoye, Tom","Heldere hemel","Fiction",11.1145,8.513
"7",7,2.115625,"James, E.L.","Vijftig tinten grijs","Other",9.8147,6.8471
"8",8,4.00137362637363,"Larsson, Stieg","Gerechtigheid","Suspense",13.3292,9.0819
"9",9,4.96244635193133,"Kooten, Kees van","De verrekijker","Other",14.9753,13.2983
"10",10,4.0410783055199,"Larsson, Stieg","De vrouw die met vuur speelde","Suspense",13.4448,8.8956
"11",11,5.84426229508197,"Buwalda, Peter","Bonita Avenue","Fiction",14.2836,12.0533
"12",12,5.08507670850767,"Koch, Herman","Zomerhuis met zwembad","Fiction",10.2565,7.231
"13",13,3.62890625,"Noort, Saskia","Koorts","Suspense",9.8584,7.1336
"14",14,3.81446540880503,"Vlugt, Simone van der","Op klaarlichte dag","Suspense",12.9557,7.5382
"15",15,3.51355661881978,"Gilbert, Elizabeth","Eten, bidden, beminnen","Fiction",14.8534,11.3797
"16",16,3.71813725490196,"Verhoef, Esther","Déjà vu","Suspense",10.6287,7.0441
"17",17,3.5045871559633,"Kluun","Haantjes","Fiction",12.1388,8.8754
"18",18,4.81346423562412,"Jonasson, Jonas","De 100-jarige man die uit het raam klom en verdween","Fiction",17.8005,11.2362
"19",19,4.95323246217331,"Stockett, Kathryn","Een keukenmeidenroman","Fiction",11.5003,7.5269
"20",20,3.76190476190476,"Adler-Olsen, Jussi","De vrouw in de kooi","Suspense",13.1977,9.0896
"21",21,4.59459459459459,"Rosnay, Tatiana de","Die laatste zomer","Fiction",11.2607,8.5222
"22",22,2.5989847715736,"James, E.L.","Vijftig tinten donkerder","Other",10.1285,7.2883
"23",23,4.065,"French, Nicci","Blauwe maandag","Suspense",11.7188,8.9489
"24",24,3.72608695652174,"Slaughter, Karin","Verbroken","Suspense",10.67,7.1525
"25",25,5.64044943820225,"Allende, Isabel","Het eiland onder de zee","Fiction",21.0721,12.8509
"26",26,3.74117647058824,"Slaughter, Karin","Gevallen","Suspense",10.7269,7.326
"27",27,3.6455938697318,"Brown, Dan","Het Verloren Symbool","Suspense",12.6135,9.0806
"28",28,6.28515625,"Heijden, A.F.Th van der","Tonio","Fiction",13.6133,9.3659
"29",29,3.46296296296296,"Vermeer, Suzanne","Bella Italia","Suspense",11.8697,7.4021
"30",30,4.80528052805281,"Rosnay, Tatiana de","Kwetsbaar","Fiction",9.7126,8.4973
"31",31,2.63725490196078,"James, E.L.","Vijftig tinten vrij","Other",9.7161,6.911
"32",32,5.35585042219542,"Treur, Franca","Dorsvloer vol confetti","Fiction",14.2215,10.2246
"33",33,5.11550888529887,"Koch, Herman","Het diner","Fiction",13.9447,10.7782
"34",34,6.11312849162011,"Japin, Arthur","Vaslav","Fiction",17.1769,12.9249
"35",35,3.84567901234568,"Grisham, John","De bekentenis","Suspense",12.8912,8.536
"36",36,4.20461095100865,"Verhoef, Esther","Tegenlicht","Fiction",10.7652,8.0116
"37",37,3.96457765667575,"Adler-Olsen, Jussi","De fazantenmoordenaars","Suspense",12.4533,8.7214
"38",38,3.11219512195122,"Vermeer, Suzanne","Cruise","Suspense",11.1601,6.1649
"39",39,4.03217158176944,"Adler-Olsen, Jussi","De noodkreet in de fles","Suspense",12.3107,8.454
"40",40,3.65873015873016,"Auel, Jean Marie","Het lied van de grotten","Fiction",16.1189,10.4742
"41",41,4.76612903225806,"Mankell, Henning","De gekwelde man","Suspense",12.6076,7.6899
"42",42,4.03004291845494,"Vlugt, Simone van der","In mijn dromen","Suspense",13.3091,8.0554
"43",43,6.07223796033994,"Dis, Adriaan van","Tikkop","Fiction",9.8412,7.0252
"44",44,3.37327188940092,"Vermeer, Suzanne","De suite","Suspense",12.3644,7.0799
"45",45,4.45744680851064,"Vuijsje, Robert","Alleen maar nette mensen","Fiction",9.4781,7.3247
"46",46,6.01796407185629,"Binet, Laurent","HhhH","Fiction",16.7344,12.6668
"47",47,3.06550218340611,"Vermeer, Suzanne","Après-ski","Suspense",11.2984,6.3078
"48",48,4.7452380952381,"Ravelli","De Vliegenvanger","Fiction",12.061,7.9616
